"DONNEES - Nombre d'activités exercées par les médecins"
"ANNEE - 2016"
"SEXE - Ensemble tous sexes confondus"
"AGE - Ensemble tous âges confondus"

SPECIALITE,"Ensemble des spécialités d'exercice","Spécialistes","Anatomie et cytologie pathologiques","Anesthésie-réanimation","Biologie médicale","Cardiologie et maladies vasculaires","Chirurgie générale","Chirurgie maxillo-faciale et stomatologie","Chirurgie orthopédique et traumatologie","Chirurgie infantile","Chirurgie plastique reconstructrice et esthétique","Chirurgie thoracique et cardio-vasculaire","Chirurgie urologique","Chirurgie vasculaire","Chirurgie viscérale et digestive","Dermatologie et vénéréologie","Endocrinologie et métabolisme","Génétique médicale","Gériatrie","Gynécologie médicale","Gynécologie-obstétrique","Hématologie","Gastro-entérologie et hépatologie","Médecine du travail","Médecine interne","Médecine nucléaire","Médecine physique et réadaptation","Néphrologie","Neuro-chirurgie","Neurologie","O.R.L et chirurgie cervico faciale","Oncologie option médicale","Ophtalmologie","Pédiatrie","Pneumologie","Psychiatrie","Radio-diagnostic et imagerie médicale","Radio-thérapie","Réanimation médicale","Recherche médicale","Rhumatologie","Santé publique et médecine sociale","Généralistes","Médecine générale"
"REGION ACTIVITE",
"FRANCE ENTIERE",303253,181156,2200,13613,3146,11868,5014,1882,5588,447,1845,694,2478,1034,1525,5526,2500,266,2105,4275,6952,697,6086,6001,2817,1213,2626,2387,746,3219,5181,1271,9647,10315,4223,19278,24869,1626,385,13,3722,1876,122097,122097
"FRANCE Métropolitaine",296909,177929,2169,13297,3074,11692,4926,1856,5508,432,1806,678,2424,1013,1500,5446,2454,260,2085,4214,6732,690,6004,5925,2753,1199,2575,2307,728,3167,5091,1262,9475,10024,4160,18984,24534,1605,378,13,3685,1804,118980,118980
"DOM-COM",6344,3227,31,316,72,176,88,26,80,15,39,16,54,21,25,80,46,6,20,61,220,7,82,76,64,14,51,80,18,52,90,9,172,291,63,294,335,21,7,0,37,72,3117,3117
"Alsace-Champagne-Ardenne-Lorraine",23820,14132,128,1199,238,1040,476,65,488,36,117,55,218,77,148,407,156,23,198,268,662,29,500,526,271,94,264,179,60,221,363,88,616,804,337,1289,1917,115,44,1,274,141,9688,9688
"Aquitaine-Limousin-Poitou-Charentes",27147,15616,174,1118,273,1195,439,137,495,37,128,69,221,99,140,485,194,20,144,391,461,68,551,479,225,93,218,172,52,272,427,96,866,636,332,1597,2746,148,23,0,255,140,11531,11531
"Auvergne-Rhône-Alpes",36370,21540,262,1763,320,1248,625,242,719,47,201,86,313,152,129,566,292,37,263,447,839,88,683,787,299,125,317,299,111,389,531,128,1123,1147,503,2309,3189,201,24,3,501,232,14830,14830
"Bourgogne-Franche-Comté",11572,6704,104,500,105,354,190,50,224,17,52,28,104,42,94,180,70,8,86,95,252,25,227,210,107,103,82,76,37,141,157,66,284,314,180,658,1208,68,13,0,120,73,4868,4868
"Bretagne",13864,7819,85,625,139,502,171,35,232,23,45,43,135,47,90,216,79,9,92,162,286,37,326,275,102,54,165,94,24,141,266,77,441,409,208,776,1058,108,8,0,159,75,6045,6045
"Centre-Val de Loire",9111,5255,48,388,97,321,163,45,156,10,33,15,75,43,48,149,66,9,91,99,219,26,178,202,97,43,62,89,24,78,153,29,247,285,117,522,801,55,11,0,115,46,3856,3856
